course_title,course_detail,course_url
업무 단축 끝판왕! 생성형 AI 마스터 클래스,"1. 생성형 AI의 업무 도입 방법을 이해하고, 업무에 적용할 수 있다.
2. 고급 생성형 AI 도구의 기능과 활용 방법을 설명할 수 있다.
3. 생성형 AI를 활용하여 복잡한 텍스트, 이미지, 음성 등 다양한 형태의 데이터를 생성할 수 있다.
4. 실무에 적용 가능한 생성형 AI 솔루션을 설계하고 구현할 수 있다.
5. 생성형 AI 도구를 활용하여 업무 효율성을 극대화할 수 있는 전략을 수립할 수 있다.",https://m.work24.go.kr/hr/a/a/3100/selectTracseDetl.do?tracseId=ACG20253001116748&tracseTme=66&cstmConsTme=&crseTracseSe=C0031&trainstCstmrId=500020020721&tracseReqstsCd=&focusId=
"골드러시의 리바이스, 엔비디아","1. 엔비디아가 AI 시대를 주도하며 경쟁사를 압도하는 기업으로 성장한 비결을 학습하고, 자사 혁신을 위한 전략적 통찰력을 기를 수 있습니다.
2. 엔비디아의 경영 철학과 리더십 스타일을 분석하여, 혁신적이고 지속 가능한 기업 경영 전략을 구축하는 방법을 학습할 수 있습니다.
3. GPU 기술의 발전과 AI 시대의 도래가 산업에 미친 영향을 이해하고, 앞으로의 기술 트렌드를 예측하여 미래 전략을 수립할 수 있습니다.",https://m.work24.go.kr/hr/a/a/3100/selectTracseDetl.do?tracseId=ACG20253001098703&tracseTme=73&cstmConsTme=&crseTracseSe=C0031&trainstCstmrId=500020035790&tracseReqstsCd=&focusId=
세상을 바꾸는 기술_4차 산업혁명 트렌드 배우기,"- AI 개요 및 기술 진화, AI의 주요 기술 개발, AI 시장 동향과 전망, 머신러닝과 딥러닝 연구 개발 등 인공지능의 연구 개발 및 현황을 분석할 수 있다.
- 빅데이터의 개요 및 시장, 연구 개발 등을 파악함으로써 데이터를 효과적으로 처리하는 기술을 이해할 수 있다.
- IoT와 IIoT의 개요를 파악하여 분야별 시장을 분석할 수 있으며 이에 따른 전망을 예측할 수 있다.
- 블록체인과 가상화폐의 개념과 특징, 종류, 핵심 구조 등을 파악하여 향후 블록체인과 가상화폐의 미래를 전망하여 대응 방안을 마련할 수 있다.
- 사이버 보안 기술의 개념을 파악하고 다양한 기술을 분류하여 현황과 미래 예측을 분석할 수 있다.
- 디지털 트윈의 개념과 등장 배경을 파악하여 주요 기업의 디지털 트윈 관련 솔루션을 제시할 수 있다.
- 클라우드 컴퓨팅의 정의와 특징을 바탕으로 ICT 기술과 연계하여 각종 서비스를 제공할 수 있다.
- 5G 개념과 주요 핵심 기술을 정리하여 국내외 생태계를 분석하여 시장 진출 계획을 마련하여 대응할 수 있다.",https://m.work24.go.kr/hr/a/a/3100/selectTracseDetl.do?tracseId=ACG20253001107577&tracseTme=92&cstmConsTme=&crseTracseSe=C0031&trainstCstmrId=500020021711&tracseReqstsCd=&focusId=
AI레볼루션 A부터 Z까지_산업편,"디지털전환 시대 기술들의 개념과 특징을 이해할 수 있다.
AI 기술의 급속한 발전이 세계 경제에 미치는 영향을 이해할 수 있다.",https://m.work24.go.kr/hr/a/a/3100/selectTracseDetl.do?tracseId=ACG20253001107583&tracseTme=92&cstmConsTme=&crseTracseSe=C0031&trainstCstmrId=500020021711&tracseReqstsCd=&focusId=
인공지능 데이터로 미래를 탐구하다,"1. 디지털전환의 개념을 이해하고, 인공지능 (AI), 머신러닝 (ML), 딥러닝 (DL)의 포함 관계를 탐구하고 차이를 이해할 수 있다.
2. 생성형 AI에 대해 학습하고, AI 시대를 맞이하는 기업들의 동향을 파악할 수 있다.",https://m.work24.go.kr/hr/a/a/3100/selectTracseDetl.do?tracseId=ACG20253001107667&tracseTme=92&cstmConsTme=&crseTracseSe=C0031&trainstCstmrId=500020021711&tracseReqstsCd=&focusId=
챗GPT가 바꾸는 비즈니스의 미래,"1. 인공지능의 개념을 이해하고 사회에 적용되는 AI기술 파악할 수 있다.
2. AI기술 학습으로 생성형 AI를 적용하고 있는 현업의 다양한 사례를 확인하여 AI의 패러다임의 변화를 설명할 수 있다.",https://m.work24.go.kr/hr/a/a/3100/selectTracseDetl.do?tracseId=ACG20253001115168&tracseTme=126&cstmConsTme=&crseTracseSe=C0031&trainstCstmrId=500044312625&tracseReqstsCd=&focusId=
[GPT] AI가 여는 새로운 세상,"인공지능 개념을 이해하고, 현재 트렌드까지 알 수 있다.
생성형 AI, 대화형 AI를 적용하고 있는 다양한 사례와 툴 실습을 통해, 업무 및 실생활에 적용해볼 수 있다.
발전의 긍정적인 면과 부정적인 면을 학습하여, 앞으로의 미래에 어떻게 대처할 수 있을지 생각해 볼 수 있다.",https://m.work24.go.kr/hr/a/a/3100/selectTracseDetl.do?tracseId=ACG20253001077515&tracseTme=187&cstmConsTme=&crseTracseSe=C0031&trainstCstmrId=500020021711&tracseReqstsCd=&focusId=
인공지능시대 보건의료 빅데이터 활용,"1. 보건·의료 분야의 전산화, 정보시스템 등을 통해 데이터의 중요성과 시사점을 이해할 수 있다.
2. 진료현장의 분산된 데이터를 빅데이터 기술을 활용하여 효율적으로 관리할 수 있다.",https://m.work24.go.kr/hr/a/a/3100/selectTracseDetl.do?tracseId=ACG20253001114253&tracseTme=105&cstmConsTme=&crseTracseSe=C0031&trainstCstmrId=500034225481&tracseReqstsCd=&focusId=
[ChatGPT] 영업제안서 10분만에 생성하고 칼퇴하기,"1. 영업제안서 작성을 위한 기초 지식을 파악한다.
2. 영업제안서 작성 절차에 따른 작성 방법을 알아본다.
3. ChatGPT 및 인공지능 서비스를 활용하여 다양한 형태의 영업제안서 작성 방법을 살펴본다.
4. 영업제안서 작성 이후 시스템의 유지·보수를 위한 전략과 영업제안서 관련 법규를 살펴본다.",https://m.work24.go.kr/hr/a/a/3100/selectTracseDetl.do?tracseId=ACG20253001114353&tracseTme=105&cstmConsTme=&crseTracseSe=C0031&trainstCstmrId=500034225481&tracseReqstsCd=&focusId=
당장 시작해야 하는 ChatGPT와 AI 스마트워크,"1. 인공지능의 개념을 이해하고 실무에 활용되는 기술을 살펴본다.
2. ChatGPT의 개념을 이해하고 GPT-4 모델의 특징을 파악한다.
3. 실무에 활용할 수 있는 ChaTGPT의 기능과 적용 방법을 알아본다.
4. 다양한 분야에서 활용하는 인공지능 기술의 종류와 특성을 학습한다.",https://m.work24.go.kr/hr/a/a/3100/selectTracseDetl.do?tracseId=ACG20253001114381&tracseTme=105&cstmConsTme=&crseTracseSe=C0031&trainstCstmrId=500034225481&tracseReqstsCd=&focusId=
